Acquirer,Target,Type,Value,Value (raw),Currency,Stake %,Category,Region,Announced,Confidence,Sources,Source count,Credibility,Source URL
Varun Beverages' Kenya arm,DFIL Kenya,M&A,$32 mn,32,USD_MILLION,,Beverage,Kenya,2026-07-07,High,Business Standard; Storyboard18; CNBC TV18,3,0.99,https://news.google.com/rss/articles/CBMilAJBVV95cUxPcllSd0VmTXhNbWJOOHJlVXVZVS1mNThpb25yZUpTOWdLT2R0eXc0R2w0ZDhuM19mZGw4Vl93bUVtSzRtR1BNMmNsV0RtaHM5NjdOZEZqaFNvVG1YQXR2Tlp2LTdBUmR0NXQxcFBveDJJbFVwVUhpRXAwLVlPQWtIZG1CSkg4UnJkeDdhay0xcVNBaFkwMFFMWXpBSDVZM1RucFN1S2owMVRzaVhESjJuYnZlM2pzQVBEc25seWpJU21YUjRkeUx0SkN2Yy1lY3R1OFhXN0hSamVzZkthRGVvN2JNSmdOQkVxT1VKcVRNUHZTOWl1dFIxOWxMbndPeGVacEZpNFRpdWRrTlFVbU5aRHJxTmjSAZoCQVVfeXFMT2xnQTlWa3d3QzhIV0NzNmttdno4MTRQelZscTNyS2RwcnBZdFVHM01XNjNpdHA4NENFT0xSdGlfUjNGQTRsR0VyRHZ1d1FUT3dKNUlCd3V1X2VfbkRwOWUzQUtYQ0xnWUJOMWFlUU1NNW8xSzM2WEVxUFp6MURKbW5fVHhKeVJ2b0VBWnhhbTU3dzhpaXhnV2pKNi1DZjBLbWZEdjA2ZzcwWklmbTlid2ZVRnRRLTVkblZ6b3ktQklSUExVSE5VYm1FWFM2d0I1Mk5mQkwtTXVtQ3cxNkpSTjVEYTBrRTllSUxIUEpHanRmUzNmbHEyRUNVbjN1ZGl6WFFnemxFbkhmLS1kTFV6UF8wUHpHSHhPVGlB?oc=5
Ananta Capital,Phitku,Stake,Undisclosed,,,100,Personal care,India,2026-07-01,High,Business Standard; bestmediainfo.com; Inc42; IFAB MEDIA,4,1,https://news.google.com/rss/articles/CBMijAJBVV95cUxNTXFKNmRlMkZTNlZ6M2dNUXZjNUI2VDdtS2NObGdkVWFiXzZpRl9LQmVFNzZKeEN0MFlLR0tEUWpIeHVXbGpCblNnVVpWcG1wWHpqRkM1cWs2NGFnb2RLV0NPWnUzZkt2TmFlM3phY0hxRmVpX1ZydlM2WWFoWFVkWEFKOVhxZUtVblB1NmhDM0s2Z29DZGoydzNiRWR5QzA3QndWaWJmUk9XcHdCWjhQdTBqZ0NST2VTRC1IQTBCRjVvTHBISk1vdXZfYnczQWhTUmNSRnlXemY1UDFvWmJ5a1YwbTJWM3VRZnFKeHNyY205ZUJ4YUkxanVrTVQtd3paaFVtX2UzSnp2Smsy0gGSAkFVX3lxTFBsR1gzRDdZUnRvVXpPWTN3VUtYV1lOZEtCb0loUW00RWN1d0pDWV9JaTRZNFVjMnFKYms0SjVYam5lblBvU0FEc1pCUkNGSmJ3MVkwc3hYZG0tOUoxOV9jU05NdDRsNUdlM09LUDJNeTJzanZ2Y0ZBc1pSRXNBWHV4V0FCOHFHd3F3Sjk5NkZVNWpnRUtUT2FPSk05WkV2Wkl0SXRMTFFIVlVfd1dHdkdKc3kxY1pSQ3cxRDF2Vng3N0NtYm9Dd0tKTThpRFJGUmNzcTBaN21nSVJPRnN6MG5DNk9kLWdSVmlGdHRpMWlfNGtIMHNlYnZjbkFvYlBhTl9DNHJQWWx6dVdOYWVxU0h6RFE?oc=5
Emami,"Vedix, SkinCraft parent",M&A,₹321 cr,321,INR_CRORE,,Personal care,India,2026-05-07,High,Entrackr; Moneycontrol; Global Cosmetics News; Rediff MoneyWiz; Exchange4Media; The Economic Times; Indian Television; Storyboard18; Fortune India; BusinessLine; ET Manufacturing; The Times of India; BW Marketing World; scanx.trade; Business Standard; Inc42; Sahi,17,1,https://news.google.com/rss/articles/CBMivgFBVV95cUxQclc0eG1XdVBUNlNnX29iMHo5emJfd2VLZ3k3ZURMZFpzc2VnQU45eExEMG9VeEp0SlNhVnA0eHEtYlNkUmowVThsbWtvZXRmb21KQXoyT1JNWldXTjJhdVBwM0QxeU9hVDJhQ1FTMHdQUERWMGg3VjUyRGhYbWdEVXZBM0hmc1paWTlraGkxR3hhZ2Faa2RPcVN4R0VGYk9kdnRLa05IS1FJNy04NldVODFtSzZHWFp6akMzOFln0gHDAUFVX3lxTFAzN2tvQlJkRktPZHBuTmtRWW0tY1dZSmRpdjlNZ29UQzZvOVlhMEtZcnVpdlpOakJZVWV4Y1hrbGtHQ0JNOFR0TkRIWHF0NEZPN2VmMXItMXMtcG9xSlNVMUhtcm9iaHhJSUFUYWV2RXh6bVZ6YkFvZHRHTmZISHgwVDc4bDFjZmcwVW80RGkza0oxQ0ZtSGFZS0N4clUyZFFRMk5FZ2FnWXpNanNUeUZBdEVDQW5EM0E4czBpOUtuRW4yRQ?oc=5
Undisclosed,Naturis Cosmetics,Funding,₹100 cr,100,INR_CRORE,,Personal care,India,2026-07-16,Med,Entrackr,1,0.5,https://entrackr.com/news/naturis-cosmetics-raises-rs-100-cr-in-maiden-institutional-round-led-by-sharrp-ventures-12169138
Undisclosed,Naturis Cosmetics,Funding,₹100 cr,100,INR_CRORE,,Personal care,India,2026-07-16,Med,Inc42,1,0.5,https://inc42.com/buzz/beauty-products-manufacturer-naturis-cosmetics-nets-%e2%82%b9100-cr-to-expand-capacity
Fireside Ventures,Anmasa,Funding,₹30 cr,30,INR_CRORE,,Food,India,2026-07-15,Med,Entrackr,1,0.5,https://entrackr.com/snippets/fireside-leads-rs-30-cr-seed-round-in-d2c-grocery-startup-anmasa-12165707
Emami,"Vedix, SkinKraft",M&A,₹321 cr,321,INR_CRORE,,Personal care,India,2026-05-07,High,BusinessLine,1,0.75,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNUUQ4XzNyZjMzSUg1THQySjl6a3NJdE1aMkY5ZWlVUUpOOWEySEpIRWJ3ZVpBTXdKSjZkazVZeEVpYzlFSVdpTnZXLXFKYWZiQkNZSVJkOXJVUWFLMjRJbFRRWG9WWGJtMG9LNnJxY0RzMmxuVHduYWV1bVdiLTBfUkxSYVhrVEttWEJuVWxabUdpdUs4VHhhQlN4d2h1WDhwVWlUMDJUTUljc0VJUEhNOVJFUko5ZGVpd1BCc3haaDN0T3d0Z3o0NzlyMGhyd0JtQ1VCc0dfdFFZWkXSAeIBQVVfeXFMTUc0ZmhHLWxBMTZsTE9YeFJycFdtWkNQelFtdzBOU3NCTk1CWWd3VGlmT1NXa0ZJdENNR1lnT0ljdkg5RTVCbjBQUmY0MFIzR3YwTGhraG9FQzU2NUlRWDJMSS1MdXRHRHJ0SGhCQ3NjZGVQSExSNktBbExCWHNXZGRRejBUX3lONjUzYmdfc19wR1BrcUt1Y0FPcTFRbUpfTW9YTUdEeHo2cDB5dU1leXVUeTQ2LTJHWTBfNVpyYmpWT3BUajVjN3JKaklYZTFwZDNtN3RubElZNjNrWnhPNzYxdw?oc=5
Kestra Advisory Services LLC,Colgate-Palmolive Company,Stake,Undisclosed,,,,Personal care,Global,2026-07-16,Low,MarketBeat,1,0.25,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPcHZVdFM4VGx2QlFhN1dYWU1CUE9pQndFdktCZkc0dEZVb1VTSWJyc19STk5nR3AwMUd4WE4zTGwtOTZWMTV4eE40NU05NTNLODdtRk53RkkxYWZpYi02RlhoV3pMbjJ3MjhWeURnbXZjOEJwWF94UkZoTFVjYVluVEhPcmJfaDZNbWU0a0o1YVd6b0d6TkdxMlFmMzJpaWEtaUNXVmNWOE8ydGU5UmdlaGY3TjdzSkVTSUZTYVN3emRSYTlVOEtWVWR0NlRFbXA3?oc=5
Undisclosed,Colgate-Palmolive Company,Stake,Undisclosed,,,,Personal care,Global,2026-07-13,Low,MarketBeat,1,0.25,https://news.google.com/rss/articles/CBMiygFBVV95cUxPdGVYUlNXaHpBYUdaZmF0X2NNNEZpcThKc3NOaEFIaWNBR2VETFdsNXlmakJDSDRVT29Ia2FpclhXdDd2TjV6QVQtS3pKd0VXcEEtLW02NEFyOUs5UXFzWkszUE9ia3ktZzd0ZVV3ai1aZkZHdEg2U1lWQS1rbWh3QmZnb09uUUs3NDczUjhWX3pwM0hWMHE1U2RVWDBJOGdZa2Q0dlRZQkhQeEVNSTJJaEFiMlU0bzUtSjEwa1NDNGl1RENZMklZNVdB?oc=5
Candriam S.C.A.,Colgate-Palmolive Company,Stake,Undisclosed,,,,Personal care,Global,2026-07-13,Low,MarketBeat,1,0.25,https://news.google.com/rss/articles/CBMixgFBVV95cUxOMUpLcFhaZVZNTjZNTDlsZmxHeV9KUndROXI0Nll6cnBMcGw1Z3lUOHdVSFUtbXg0X1pJb29lT2lGRjdoMmlpck9OZ3lmSVdoUk82MVNCMEh1UTY4aWNBbzZYX0NLaWlXeklfV1N2ZFcxSTRiQi0waHBDaUowVnN6aTZEaFlYTy1Kc3lUdDBRTnotWVBlN1Y4bG81NVJ4UDQtTmc2bTlwdUJVclZyQzVJVENvYWN4M2RxQzBPTlIwTWlLTkZ2NEE?oc=5
